"","ID_IPEDS","year","degree_bach","public","enroll_futg","grant_state","grant_federal","netprice"
"257",428073,2011,FALSE,FALSE,20,0,99000,1543
"258",440873,2011,FALSE,FALSE,173,12000,925588,16747
"259",443340,2011,TRUE,FALSE,11,9200,22450,14975
"260",443359,2011,FALSE,FALSE,126,0,389392,17717
"261",443650,2011,FALSE,FALSE,60,4000,219691,19721
"262",443766,2011,TRUE,FALSE,2,0,2775,30661
"263",444255,2011,TRUE,FALSE,153,18001,589951,31215
"264",444468,2011,FALSE,FALSE,17,0,67194,9484
"265",445249,2011,FALSE,FALSE,149,31652,540923,23181
"266",446075,2011,FALSE,FALSE,18,0,65100,6176
"267",446525,2011,FALSE,FALSE,170,6667,370099,31186
"268",448150,2011,FALSE,FALSE,81,0,266298,8918
"269",448664,2011,FALSE,FALSE,116,6000,390950,19465
"270",449010,2011,TRUE,FALSE,247,254269,717399,25739
"271",449764,2011,TRUE,FALSE,21,0,46925,25084
"272",450289,2011,TRUE,FALSE,16,0,68365,15951
"273",450535,2011,TRUE,FALSE,16,0,67547,18908
"274",451529,2011,FALSE,FALSE,59,0,111537,11810
"275",451538,2011,FALSE,FALSE,74,0,403822,6291
"276",451918,2011,FALSE,FALSE,228,0,457634,14421
"277",452124,2011,FALSE,FALSE,85,17297,384705,22522
"278",455567,2011,FALSE,FALSE,77,2400,364556,15762
"279",456029,2011,FALSE,FALSE,72,0,160625,16593
"280",456940,2011,FALSE,FALSE,97,0,489502,17347
"281",458007,2011,FALSE,FALSE,65,0,163900,6618
"282",458803,2011,FALSE,FALSE,55,0,212656,11954
"283",458812,2011,FALSE,FALSE,40,0,84775,11724
"284",458821,2011,FALSE,FALSE,40,0,165800,11737
"285",459000,2011,FALSE,FALSE,61,0,255122,11614
"286",459073,2011,FALSE,FALSE,41,0,155933,11839
"287",219505,2012,TRUE,FALSE,16,1000,33500,23507
"288",219578,2012,TRUE,FALSE,18,66405,32425,20153
"289",219587,2012,FALSE,FALSE,59,0,140147,15630
"290",219596,2012,FALSE,TRUE,185,327442,590013,4959
"291",219602,2012,TRUE,TRUE,1182,4298313,3056096,10983
"292",219639,2012,TRUE,FALSE,66,361640,178321,8885
"293",219709,2012,TRUE,FALSE,1254,1527700,809684,30357
"294",219718,2012,TRUE,FALSE,725,1131791,2402104,17573
"295",219790,2012,TRUE,FALSE,195,540520,358908,15258
"296",219806,2012,TRUE,FALSE,453,1637976,1014844,14312
"297",219824,2012,FALSE,TRUE,1168,1101017,3392297,7902
"298",219833,2012,TRUE,FALSE,253,1055375,552389,11679
"299",219879,2012,FALSE,TRUE,687,1014767,1832448,5501
"300",219888,2012,FALSE,TRUE,833,1238399,1839703,6518
"301",219903,2012,FALSE,FALSE,1625,273571,6390396,19070
"302",219921,2012,FALSE,TRUE,108,214456,442517,6735
"303",219949,2012,TRUE,FALSE,212,781775,425579,17147
"304",219976,2012,TRUE,FALSE,670,1568203,712125,22243
"305",219994,2012,FALSE,TRUE,250,325309,466545,10247
"306",220002,2012,TRUE,FALSE,10,0,25755,25020
"307",220057,2012,FALSE,TRUE,570,654997,1721640,9430
"308",220075,2012,TRUE,TRUE,2038,6970606,4150371,15236
"309",220118,2012,FALSE,FALSE,58,11100,204500,19564
"310",220127,2012,FALSE,TRUE,755,599634,757334,10405
"311",220163,2012,FALSE,FALSE,22,0,35337,12909
"312",220181,2012,TRUE,FALSE,221,220500,704236,19460
"313",220206,2012,TRUE,FALSE,60,99500,133507,16252
"314",220215,2012,TRUE,FALSE,321,780875,496715,18966
"315",220251,2012,FALSE,TRUE,366,305252,688600,9416
"316",220279,2012,FALSE,TRUE,277,312603,461215,6553
"317",220312,2012,TRUE,FALSE,88,202195,280206,15123
"318",220321,2012,FALSE,TRUE,273,302469,718606,9735
"319",220394,2012,FALSE,TRUE,95,178000,427830,7032
"320",220400,2012,FALSE,TRUE,792,1151230,2339037,9107
"321",220464,2012,FALSE,FALSE,18,31884,53588,10382
"322",220473,2012,TRUE,FALSE,179,175000,356524,13417
"323",220491,2012,FALSE,FALSE,10,0,46125,13785
"324",220516,2012,TRUE,FALSE,226,503354,463184,18108
"325",220552,2012,TRUE,FALSE,198,366099,617506,26647
"326",220598,2012,TRUE,FALSE,324,353454,1568584,10823
"327",220604,2012,TRUE,FALSE,175,114275,460312,11709
"328",220613,2012,TRUE,FALSE,846,1833319,1351010,11773
"329",220631,2012,TRUE,FALSE,234,644009,670203,14576
"330",220640,2012,FALSE,TRUE,246,286002,641965,5271
"331",220701,2012,TRUE,FALSE,281,973500,963422,13451
